회사명,거래소코드,회계년도,당기순이익,영업현금흐름,자본,유동비율,부채비율,매출액총이익률,총자본회전률,자기자본정상영업이익률,ROA
(주)고영테크놀러지,98460,2017-12-01,26734105,19941301,161317171,499.8,27.21,64.65,1.02,27.46,13.027847413970994
(주)고영테크놀러지,98460,2018-12-01,42309672,21765311,225866639,562.28,23.55,62.5,0.98,23.75,15.16152709489458
(주)고영테크놀러지,98460,2019-12-01,29559680,29168422,243668528,587.8,25.37,63.58,0.76,14.2,9.676432313421962
(주)고영테크놀러지,98460,2020-12-01,9161038,37796430,246058103,620.36,22.97,63.01,0.59,6.47,3.027697040167577
(주)고영테크놀러지,98460,2021-12-01,39586269,42480323,280399362,572.95,31.36,63.57,0.67,14.75,10.747521999113907
(주)고영테크놀러지,98460,2022-12-01,39283549,29302034,305174910,491.39,28.35,64.16,0.72,15.12,10.029334608686646
(주)골드앤에스,35290,2011-12-01,1002287,8628850,22436829,108.02,108.04,31.52,1.04,5.88,2.147275671053239
(주)골드앤에스,35290,2012-12-01,-6467495,2478990,25517817,128.81,103.59,29.34,0.89,-9.72,-12.449315798164125
(주)골드앤에스,35290,2013-12-01,-16837473,-204052,13127355,52.99,291.87,28.88,0.77,-33.6,-32.73066309659687
(주)골드앤에스,35290,2014-12-01,-9319175,-991208,12082621,60.18,285.09,25.04,0.64,-24.43,-20.0289719366253
(주)골드앤에스,35290,2015-12-01,-9502547,1708284,15160254,193.43,58.98,31.53,0.63,8.4,-39.426229936701766
(주)골드앤에스,35290,2016-12-01,390367,1679723,14268527,235.98,30.86,41.19,0.74,2.73,2.0906943170081864
(주)골드앤에스,35290,2017-12-01,-7975875,361216,13346076,338.62,28.68,37.49,0.71,-26.75,-46.441747126779454
(주)골드앤에스,35290,2018-12-01,-4380399,-3136830,13779569,75.1,208.23,49.25,0.29,-34.41,-10.313462803846553
(주)골드앤에스,35290,2019-12-01,-24883278,-6506543,-5091573,18.57,0.0,17.66,0.26,0.0,-154.59129718436125
(주)골드앤에스,35290,2020-12-01,1635730,-498313,14398168,412.25,43.31,74.8,0.23,0.0,7.927286832735522
(주)골드앤에스,35290,2021-12-01,770698,2035559,15175954,338.93,72.28,34.44,0.58,9.17,2.947804598946644
(주)골드앤에스,35290,2022-12-01,-6253681,-572067,14551483,436.6,28.65,45.97,0.42,-7.7,-33.404775695039326
(주)골프존,215000,2015-12-01,36533155,44345997,108853909,436.6,28.65,45.97,0.42,-7.7,20.50900630555658
(주)골프존,215000,2016-12-01,36536248,35237011,120648626,159.04,55.75,59.7,1.15,37.67,19.44304525406182
(주)골프존,215000,2017-12-01,79392004,80376887,189381881,309.32,33.95,65.5,0.91,24.16,31.29705795883154
(주)골프존,215000,2018-12-01,20419449,32883976,194919561,267.33,30.34,60.96,0.78,14.66,8.037323930622907
(주)골프존,215000,2019-12-01,16213888,39501603,200042879,133.84,56.26,62.0,0.87,16.35,5.186995403136729
(주)골프존,215000,2020-12-01,37497361,87402396,225570692,145.96,62.83,62.52,0.88,24.23,10.209095437520844
(주)골프존,215000,2021-12-01,76442443,136071287,291902034,186.22,65.67,64.8,1.03,41.61,15.806918736035136
(주)골프존,215000,2022-12-01,111557528,133925403,373163222,195.12,57.98,58.89,1.15,44.71,18.92319751892317
(주)골프존뉴딘홀딩스,121440,2011-12-01,46487063,46128334,348968757,1016.66,8.33,53.49,0.76,21.28,12.296398362370706
(주)골프존뉴딘홀딩스,121440,2012-12-01,73354594,61269978,411636973,208.99,31.41,54.55,0.63,18.14,13.561007558766832
(주)골프존뉴딘홀딩스,121440,2013-12-01,2803470,63430820,424543916,133.05,50.24,48.79,0.62,19.25,0.43952554707613795
(주)골프존뉴딘홀딩스,121440,2014-12-01,79234486,28790402,486385956,91.84,56.67,48.94,0.61,22.48,10.397718358226166
(주)골프존뉴딘홀딩스,121440,2015-12-01,871101274,-15266617,551360423,93.81,39.17,33.7,0.22,-1.8,113.52439648549262
(주)골프존뉴딘홀딩스,121440,2016-12-01,2876449,15895535,528087415,70.74,44.06,48.12,0.32,6.86,0.37809560337537246
(주)골프존뉴딘홀딩스,121440,2017-12-01,-21585123,-1173648,500912642,97.2,51.02,47.15,0.28,3.58,-2.853284325489987
(주)골프존뉴딘홀딩스,121440,2018-12-01,-7527390,-20158087,485969871,47.77,59.42,42.07,0.29,0.23,-0.9715978984364007
(주)골프존뉴딘홀딩스,121440,2019-12-01,-34848135,5656323,447197508,147.33,73.61,38.58,0.3,-0.78,-4.488513877205462
(주)골프존뉴딘홀딩스,121440,2020-12-01,28481672,25586892,469481392,187.91,69.5,39.78,0.37,6.55,3.579138301911923
(주)골프존뉴딘홀딩스,121440,2021-12-01,135856901,21104190,601359598,61.16,56.22,42.06,0.48,13.67,14.461822584557796
(주)골프존뉴딘홀딩스,121440,2022-12-01,88010331,17981156,685290152,105.65,47.21,41.96,0.5,14.68,8.724049522146023
(주)공구우먼,366030,2022-12-01,88010331,17981156,685290152,105.65,47.21,41.96,0.5,14.68,8.724049522146023
(주)광림,14200,2011-12-01,88010331,17981156,685290152,105.65,47.21,41.96,0.5,14.68,8.724049522146023
(주)광림,14200,2012-12-01,88010331,17981156,685290152,105.65,47.21,41.96,0.5,14.68,8.724049522146023
(주)광림,14200,2013-12-01,88010331,17981156,685290152,105.65,47.21,41.96,0.5,14.68,8.724049522146023
(주)광림,14200,2014-12-01,-237860,-6344996,128970849,174.84,89.88,24.19,0.95,1.69,-0.09713071950725904
(주)광림,14200,2015-12-01,-237860,-6344996,128970849,174.84,89.88,24.19,0.95,1.69,-0.09713071950725904
(주)광림,14200,2016-12-01,-1896521,3288372,113505965,83.29,102.28,14.09,0.38,0.15,-0.8260226276647825
(주)광림,14200,2017-12-01,-23602051,-15250032,107690687,106.4,93.2,2.98,0.62,-11.18,-11.3439601590906
(주)광림,14200,2018-12-01,-28445678,-13294713,90075229,84.32,108.51,10.29,0.69,-1.06,-15.145774888226498
(주)광림,14200,2019-12-01,-6622399,-10889787,102732190,76.57,147.48,7.47,0.66,-11.39,-2.604789455856002
(주)광림,14200,2020-12-01,-23823893,25092530,81613304,77.48,159.91,14.95,0.69,10.26,-11.231148636943326
(주)광림,14200,2021-12-01,-23012093,9903828,125779874,97.33,113.73,15.67,0.78,10.88,-8.559953325603567
(주)광림,14200,2022-12-01,-26780782,10028060,161976773,144.59,71.68,19.73,0.76,15.31,-9.630473865064983
(주)광무,29480,2011-12-01,-50127229,8460656,37831616,111.42,100.75,18.36,0.68,-35.78,-66.00336226256601
(주)광무,29480,2012-12-01,-10689029,-5808549,29507217,117.03,89.07,18.02,0.74,-19.58,-19.159879647100674
(주)광무,29480,2013-12-01,-28721377,-971186,8786699,66.23,302.71,-10.17,0.45,-72.62,-81.1691097953164
(주)광무,29480,2014-12-01,-28721377,-971186,8786699,66.23,302.71,-10.17,0.45,-72.62,-81.1691097953164
(주)광무,29480,2015-12-01,-28721377,-971186,8786699,66.23,302.71,-10.17,0.45,-72.62,-81.1691097953164
(주)광무,29480,2016-12-01,-28721377,-971186,8786699,66.23,302.71,-10.17,0.45,-72.62,-81.1691097953164
(주)광무,29480,2017-12-01,-28721377,-971186,8786699,66.23,302.71,-10.17,0.45,-72.62,-81.1691097953164
(주)광무,29480,2018-12-01,-5120760,-1324743,10729216,115.45,164.99,22.99,0.81,-12.44,-18.010711124760952
(주)광무,29480,2019-12-01,-6421201,-2435580,22844122,108.76,176.39,40.05,0.8,-17.95,-10.169809275877604
(주)광무,29480,2020-12-01,-19325974,-1312547,24221981,130.81,59.46,11.08,0.49,-15.18,-50.034688537528304
(주)광무,29480,2021-12-01,-758185,-1066561,50960246,165.5,104.17,17.79,0.27,-1.93,-0.7287133823411588
(주)광무,29480,2022-12-01,-7366384,-35152926,80095780,210.18,69.76,9.49,0.65,3.63,-5.417584725107871
(주)구스앤홈,329050,2019-12-01,-7366384,-35152926,80095780,210.18,69.76,9.49,0.65,3.63,-5.417584725107871
(주)구스앤홈,329050,2020-12-01,-7366384,-35152926,80095780,210.18,69.76,9.49,0.65,3.63,-5.417584725107871
(주)구영테크,53270,2011-12-01,-647883,1574250,36633264,56.43,308.02,12.25,1.01,14.11,-0.4334496789451195
(주)구영테크,53270,2012-12-01,1633009,11791408,36686891,57.4,339.29,13.82,1.0,20.43,1.013265300854618
(주)구영테크,53270,2013-12-01,2179847,11048296,39023837,60.26,282.41,12.89,1.11,19.79,1.4607279155925739
(주)구영테크,53270,2014-12-01,2236588,3399363,52212920,71.98,198.5,13.18,1.12,11.92,1.4350234684635315
(주)구영테크,53270,2015-12-01,4158785,17308908,56401223,85.48,186.04,14.79,1.09,11.32,2.5777973786183
(주)구영테크,53270,2016-12-01,2542450,19282164,57780291,80.61,188.59,15.19,0.9,7.6,1.5247214532497417
(주)구영테크,53270,2017-12-01,1357296,5515131,55811041,78.36,235.08,15.17,0.85,10.02,0.725789156062042
(주)구영테크,53270,2018-12-01,5920905,3263344,68827896,80.98,194.32,11.4,1.0,8.63,2.9228504671674607
(주)구영테크,53270,2019-12-01,3387486,7656129,71704257,78.53,188.09,9.61,1.13,7.46,1.6398741746818035
(주)구영테크,53270,2020-12-01,727487,18178378,69507562,72.48,204.67,9.43,0.94,4.16,0.34353128707488956
(주)구영테크,53270,2021-12-01,3129413,17241006,76272000,74.76,192.23,10.49,0.94,5.48,1.4040077340611685
(주)구영테크,53270,2022-12-01,3975738,22114805,83425564,74.04,187.82,10.93,1.18,9.64,1.6557328208752424
(주)국보디자인,66620,2011-12-01,6055732,15461768,48143562,191.36,66.59,15.72,1.65,18.81,7.550703296347049
(주)국보디자인,66620,2012-12-01,8281324,15200794,57564527,216.7,61.35,16.02,1.38,19.87,8.916389567045849
(주)국보디자인,66620,2013-12-01,10935895,20298063,65598063,172.74,94.98,13.45,1.48,19.11,8.550201859334928
(주)국보디자인,66620,2014-12-01,10942079,13115955,74350888,197.66,77.55,14.9,1.36,19.07,8.288707992539186
(주)국보디자인,66620,2015-12-01,10768050,12342482,83307386,196.06,69.36,13.28,1.41,16.22,7.6320510578442855
(주)국보디자인,66620,2016-12-01,10738135,12706335,86928845,192.59,82.28,12.33,1.34,12.36,6.7768801480140874
(주)국보디자인,66620,2017-12-01,13340935,17688040,99283826,220.15,65.57,16.98,1.68,24.93,8.115826629500733
(주)국보디자인,66620,2018-12-01,13872876,2672078,108600438,229.49,61.18,14.77,1.5,15.84,7.925691779163402
(주)국보디자인,66620,2019-12-01,15942956,5879030,123363884,206.55,80.37,11.99,1.35,9.96,7.1648911008148755
(주)국보디자인,66620,2020-12-01,20099538,34430454,166024203,110.11,62.16,15.87,1.17,17.79,7.46561337440778
(주)국보디자인,66620,2021-12-01,19541504,12124010,227447157,115.39,51.82,15.05,1.05,13.09,5.659164596502892
(주)국보디자인,66620,2022-12-01,20867524,23644350,145726797,148.98,87.67,13.54,1.22,15.42,7.6303255639248375
(주)국순당,43650,2011-12-01,5264054,7678883,178114387,500.27,11.8,42.79,0.64,3.0,2.643457933316274
(주)국순당,43650,2012-12-01,6185532,7480415,191625826,631.95,9.45,44.83,0.57,2.95,2.949289636118713
(주)국순당,43650,2013-12-01,5742772,4097835,194567775,733.62,12.1,42.35,0.46,0.75,2.632907494337591
(주)국순당,43650,2014-12-01,3463226,2930587,196810690,698.29,10.5,39.38,0.42,0.55,1.592435425703989
(주)국순당,43650,2015-12-01,-3529405,-9008894,198167277,905.17,9.3,35.41,0.36,-4.15,-1.6295483467573504
(주)국순당,43650,2016-12-01,-2760688,141542,194018641,790.47,9.79,39.7,0.32,-3.31,-1.2960682567805235
(주)국순당,43650,2017-12-01,9687855,-2421354,221539252,708.73,9.33,37.88,0.28,-2.05,3.9999441783085206
(주)국순당,43650,2018-12-01,-2977369,-5633688,215679919,618.73,10.64,36.99,0.26,-1.37,-1.2477476012406077
(주)국순당,43650,2019-12-01,-8269903,-4311503,204958649,232.87,23.19,27.85,0.42,-2.84,-3.275412936885058
(주)국순당,43650,2020-12-01,18661685,15137331,222502376,642.45,10.06,45.21,0.21,2.14,7.620658017807502
(주)국순당,43650,2021-12-01,21549454,5759119,242822099,618.68,10.03,48.11,0.25,3.64,8.065957926111446
(주)국순당,43650,2022-12-01,-4569045,3803662,234352561,800.88,8.32,48.35,0.29,3.83,-1.7999262711133182
(주)국영지앤엠,6050,2011-12-01,-4569045,3803662,234352561,800.88,8.32,48.35,0.29,3.83,-1.7999262711133182
(주)국영지앤엠,6050,2012-12-01,-4569045,3803662,234352561,800.88,8.32,48.35,0.29,3.83,-1.7999262711133182
(주)국영지앤엠,6050,2013-12-01,-4569045,3803662,234352561,800.88,8.32,48.35,0.29,3.83,-1.7999262711133182
(주)국영지앤엠,6050,2014-12-01,-4569045,3803662,234352561,800.88,8.32,48.35,0.29,3.83,-1.7999262711133182
(주)국영지앤엠,6050,2015-12-01,-4569045,3803662,234352561,800.88,8.32,48.35,0.29,3.83,-1.7999262711133182
(주)국영지앤엠,6050,2016-12-01,-4569045,3803662,234352561,800.88,8.32,48.35,0.29,3.83,-1.7999262711133182
(주)국영지앤엠,6050,2017-12-01,-4569045,3803662,234352561,800.88,8.32,48.35,0.29,3.83,-1.7999262711133182
(주)국영지앤엠,6050,2018-12-01,-4569045,3803662,234352561,800.88,8.32,48.35,0.29,3.83,-1.7999262711133182
(주)국영지앤엠,6050,2019-12-01,-4569045,3803662,234352561,800.88,8.32,48.35,0.29,3.83,-1.7999262711133182
