,회사명,거래소코드,회계년도,총자본증가율,정상영업이익증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,매출액총이익률,매출액정상영업이익률,매출액순이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율(관계기업투자손익 제외),사내유보 대 자기자본비율,총자본회전률,자기자본회전률,타인자본회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,순운전자본회전률,운전자본회전률,종업원1인당 부가가치,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,1주당순이익,1주당 CASH FLOW,유보율,기계투자효율,부가가치율,노동소득분배율,자기자본구성비율,유동비율,당좌비율,현금비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,1주당매출액,1주당순자산,총자산영업이익률,총자산순이익률
35,(주)SIMPAC,9160,2018/12,78.86,-12.89,436.6,80.64,32.74,63.93,11.16,3.33,22.6,3.02,20.48,0.5,80.75,17.66,0.58,0.91,1.58,1.33,1.96,4.1,4.23,0.75,0.0,189.48,0.0,0.0,0.0,16.76,32.0,1678.0,1284.52,1277.69,292.53,37.32,27.54,63.81,135.98,87.82,49.22,133.84,157.58,56.71,5.64,12.26,2.04,4.54,10526.1,13925.81,1.494764907645824,10.150124660136273
36,(주)SIMPAC,9160,2019/12,-0.38,9.33,-86.29,1.42,40.48,-1.8,10.41,2.59,2.21,2.54,2.17,0.35,97.01,15.52,0.63,0.98,1.77,1.43,2.14,4.34,7.08,0.82,13.04,103.31,0.0,0.0,0.0,9.64,24.96,157.0,572.68,1296.53,199.32,15.22,57.13,64.96,131.76,91.59,58.26,126.48,163.65,53.93,15.72,29.05,5.51,8.7,6573.26,6320.45,1.640489888880275,1.3969776889603316
37,(주)SIMPAC,9160,2020/12,8.56,-30.1,259.84,5.17,-14.93,-1.43,10.3,2.13,9.33,1.72,7.54,0.6,89.67,18.28,0.52,0.81,1.43,1.14,1.73,3.33,7.19,0.66,0.75,142.15,0.0,0.0,0.0,13.08,42.37,586.0,-260.48,1389.64,372.74,26.37,39.73,62.93,141.82,88.93,49.68,126.48,102.77,58.9,3.74,7.06,1.39,2.79,5591.72,6543.56,1.0562340464791928,4.630478362554336
38,(주)SIMPAC,9160,2021/12,22.51,1266.33,166.06,17.82,67.55,5.58,26.01,17.36,14.82,21.06,17.98,-0.09,82.21,28.69,0.75,1.21,1.95,1.37,2.07,4.06,9.03,0.83,0.0,254.43,0.0,0.0,0.0,19.83,81.87,1621.0,974.29,1657.62,881.2,29.22,28.94,60.52,163.62,112.22,65.94,80.8,216.63,65.23,6.55,13.02,2.59,3.81,9369.06,7273.18,11.780120782645792,10.05645338726186
39,(주)SIMPAC,9160,2022/12,6.85,11.79,-16.18,9.7,9.66,1.17,26.13,17.69,11.33,20.75,13.28,0.12,86.24,34.07,0.72,1.17,1.86,1.2,1.82,3.54,7.64,0.75,0.0,209.95,0.0,0.0,0.0,16.46,68.11,1381.0,45.43,1850.23,751.72,23.63,33.27,62.14,169.96,108.3,61.66,88.13,584.14,60.93,9.13,13.76,3.46,4.96,10274.09,7700.74,12.32477705831208,7.889075447981322
40,(주)STX,11810,2012/12,-3.19,0.0,0.0,-34.6,3.22,-4.34,-3.15,-6.67,-7.97,-24.01,-35.59,1.78,108.17,37.31,1.2,3.6,1.79,4.23,5.1,24.74,10.95,1.68,0.06,245.75,185.59,0.0,8605.01,-2.76,-16.56,-8599.0,4150.0,655.36,-43.1,-2.27,0.0,29.73,62.81,55.08,12.95,0.0,172.8,236.31,4.3,5.44,3.02,2.49,101994.13,18312.68,-8.107532046885858,-9.688675553268
41,(주)STX,11810,2013/12,-73.5,0.0,0.0,-145.6,-60.24,-52.8,-28.23,-39.27,-65.14,0.0,-521.17,3.01,148.06,0.0,0.76,0.0,0.91,2.15,2.45,17.71,5.87,0.83,0.07,-8579.16,351.14,0.0,6138.8,-92.75,-577.77,-26644.0,2127.24,-416.07,-1841.96,-50.83,0.0,0.0,62.06,54.71,5.09,0.0,127.51,0.0,10.3,13.35,14.21,7.79,39841.76,0.0,-71.63960313440396,-118.85335041563629
42,(주)STX,11810,2014/12,-6.52,0.0,0.0,0.0,-33.27,-29.94,7.42,2.18,23.28,0.0,0.0,2.19,83.56,-1640.26,1.26,0.0,1.08,1.94,2.36,10.84,6.74,0.87,0.13,3148.77,460.65,0.0,8632.52,40.25,467.4,15611.0,-337.39,25.29,332342.76,30.9,17.28,7.46,113.3,86.97,14.11,197.92,180.51,1239.93,2.35,3.07,2.18,1.67,7247.4,219.97,2.843899850358804,30.325369999410363
43,(주)STX,11810,2015/12,0.97,0.0,0.0,-22.76,-0.23,2.42,2.74,-2.1,-3.0,-41.17,-59.01,1.82,103.24,-39.51,1.29,19.65,1.38,1.82,2.56,6.23,8.39,0.95,0.28,-56.79,422.94,0.0,8327.11,6.28,78.33,-1642.0,-534.21,-3.22,102008.97,4.88,114.02,5.71,104.09,67.59,8.89,892.68,93.87,1651.71,-3.85,-5.1,-3.63,-2.82,54621.31,2252.41,-2.696445143084412,-3.865299268321938
44,(주)STX,11810,2016/12,-44.15,0.0,0.0,-556.99,5.48,-5.51,4.93,-1.99,-26.59,0.0,0.0,1.93,124.81,0.0,1.74,0.0,1.54,2.48,4.07,6.34,13.31,1.07,0.15,-3405.1,256.65,0.0,5230.72,-48.77,-469.74,-14597.0,1846.86,-378.97,-1045960.61,-20.07,0.0,-46.71,49.89,26.7,4.89,0.0,107.47,0.0,2.02,2.65,2.96,1.22,54931.92,0.0,-4.828114380345594,-64.63758409176653
