Unnamed: 0,회사명,거래소코드,회계년도,총자본증가율,정상영업이익증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,매출액총이익률,매출액정상영업이익률,매출액순이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율(관계기업투자손익 제외),사내유보 대 자기자본비율,총자본회전률,자기자본회전률,타인자본회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,순운전자본회전률,운전자본회전률,종업원1인당 부가가치,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,1주당순이익,1주당 CASH FLOW,유보율,기계투자효율,부가가치율,노동소득분배율,자기자본구성비율,유동비율,당좌비율,현금비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,1주당매출액,1주당순자산,총자산영업이익률,총자산순이익률,부실
1259,(주)시디즈,134790,2012/12,3.15,130.59,122.13,10.1,78.57,-46.3,27.42,4.1,4.33,14.07,14.87,-0.7,94.83,19.58,2.36,3.43,7.59,3.76,4.39,26.2,20.89,2.72,0.04,79.56,35.85,12.24,404.27,19.68,221.91,1826.0,2422.35,2509.79,650.01,8.45,41.33,71.06,293.39,263.01,118.89,15.71,35.1,40.73,23.98,0.0,6.94,2.98,40953.41,12056.86,9.54106753370982,10.078577728667725,0
1260,(주)시디즈,134790,2013/12,-32.27,0.0,0.0,-10.91,-71.3,-82.76,10.58,-3.89,-1.13,-3.87,-1.12,-2.71,101.35,18.94,0.8,0.99,4.01,0.96,1.05,11.23,16.69,0.79,0.05,98.57,175.29,56.56,1588.05,6.21,56.23,-141.0,-1406.4,2445.98,174.27,6.29,142.91,93.46,1709.32,1605.41,239.36,6.46,138.65,6.99,65.26,0.0,4.26,4.32,11754.06,10883.96,-3.842987571683259,-1.1152455059795732,0
1264,(주)시디즈,134790,2017/12,1.32,0.0,129.96,0.99,25.96,-14.29,-0.08,-1.9,2.46,-1.1,1.42,-2.35,96.3,19.89,0.54,0.58,8.32,0.78,0.9,5.72,13.12,0.72,0.16,101.72,0.0,0.0,0.0,2.62,38.48,184.0,-398.73,2450.74,622.34,4.87,57.79,93.36,1287.84,1066.46,170.53,18.64,77.3,7.12,-0.42,0.0,-0.03,-0.05,6260.24,10644.85,-1.0190928661098215,1.322037101782454,0
1265,(주)시디즈,134790,2018/12,208.85,0.0,1203.35,15.44,1025.83,1800.0,17.79,3.05,2.85,18.35,17.13,-0.12,96.75,30.34,2.96,6.01,5.82,4.53,6.68,14.04,16.78,2.62,0.06,83.35,0.0,0.0,0.0,13.19,54.53,2393.0,3395.45,2786.94,1062.98,6.74,49.65,34.89,104.23,65.07,10.14,924.82,78.62,186.58,6.39,0.0,4.16,2.13,70479.6,11077.08,5.975129625953976,5.578997547442423,0
1266,(주)시디즈,134790,2019/12,-6.88,100.87,94.47,27.48,36.84,23.68,20.15,4.48,4.05,30.24,27.34,0.13,95.36,45.2,2.77,6.75,4.71,4.38,7.0,11.69,15.29,2.37,0.06,129.25,0.0,0.0,0.0,27.17,99.51,4655.0,8783.62,3477.57,2180.01,9.45,42.6,47.77,136.58,85.55,36.59,139.51,55.43,109.33,34.77,671.16,18.16,6.31,96440.92,14471.33,12.88945848422602,11.651583585599337,0
1267,(주)시디즈,134790,2020/12,42.79,128.41,121.95,52.26,17.94,5.67,25.02,8.68,7.62,48.86,42.92,0.05,90.98,63.91,2.79,5.63,5.55,4.52,6.84,13.37,22.58,2.64,0.04,215.9,0.0,0.0,0.0,33.59,151.43,10331.0,10342.51,5152.04,924.47,14.14,28.86,50.94,143.78,98.8,49.46,102.73,45.49,96.31,40.7,222.27,19.97,8.41,113745.16,22829.15,20.61786890840226,18.11034105301151,0
1268,(주)시디즈,134790,2021/12,-11.45,-35.69,-25.42,25.96,10.75,7.38,23.92,5.04,5.13,23.04,23.47,0.06,93.99,71.26,2.79,4.57,7.16,4.65,7.53,12.14,18.1,2.98,0.07,188.99,0.0,0.0,0.0,35.66,136.53,7704.0,-3584.67,6418.5,809.97,12.0,34.28,72.46,250.04,133.79,35.17,77.48,254.74,38.01,28.93,127.51,7.97,2.68,125968.45,29087.01,14.974262105945227,15.253110762236991,0
1269,(주)시디즈,134790,2022/12,0.0,0.0,0.0,0.0,0.0,4.38,21.04,0.02,1.05,0.06,4.01,0.0,98.75,71.97,2.86,3.84,11.25,5.13,11.33,9.36,29.23,3.63,0.23,107.39,0.0,0.0,0.0,21.7,73.88,1516.0,5671.94,6616.22,526.6,7.58,55.62,74.57,242.51,109.73,45.61,93.17,117.47,34.11,52.43,283.22,13.34,4.66,121660.33,29997.53,0.0480643645146857,2.9918277060936704,0
1301,(주)신성이엔지,11930,2014/12,15.76,0.0,0.0,13.89,27.63,35.1,3.59,-1.58,-6.01,-6.36,-24.12,5.69,105.92,-78.9,0.6,4.01,0.7,2.16,2.58,13.42,4.6,0.64,0.07,98.28,536.31,238.28,1215.79,8.08,18.32,-203.0,-247.84,41.44,41.24,14.57,49.0,14.72,41.78,36.05,5.27,0.0,84.96,579.43,-2.74,-3.68,-2.34,-4.21,3287.37,855.12,1.4479631290195056,1.3106881490266409,0
1303,(주)신성이엔지,11930,2015/12,-6.61,0.0,0.0,23.46,-10.02,-3.91,11.42,4.47,1.22,13.58,3.72,5.71,97.48,-62.83,0.52,3.04,0.62,1.71,2.04,10.37,4.12,0.56,0.09,172.01,556.41,247.0,1181.64,14.56,30.91,28.0,96.23,63.92,69.64,27.23,35.2,19.46,62.23,49.78,3.13,0.0,99.15,413.91,-1.38,-1.71,-1.11,-2.08,2279.98,820.24,2.391872644381872,0.65432886566795,0
