,회사명,거래소코드,회계년도,외환보유액(천달러),경기동행지수,총자본투자효율,CASH FLOW 대 총자본비율,CASH FLOW 대 부채비율,부가가치율,타인자본회전률,자기자본정상영업이익률,순운전자본회전률,당좌비율,순이익증가율,정상영업이익증가율,부실
141,(주)경인양행,12610,2022,399043064,108.8,24.31,2.78,5.39,33.1,1.32,10.83,0.75,46.3,-36.638458365146,-1.04,0.0
142,(주)고려시멘트,198440,2017,379476576,97.3,12.85,2.73,8.22,16.98,2.28,3.9,1.42,152.27,0.0,0.0,0.0
143,(주)고려시멘트,198440,2018,393332482,98.7,14.94,1.92,5.96,22.21,2.16,4.68,1.21,154.43,0.0,27.17,0.0
144,(주)고려시멘트,198440,2019,397876077,101.2,12.76,1.81,5.95,22.85,1.78,-0.53,0.92,141.61,0.0,0.0,0.0
145,(주)고려시멘트,198440,2020,430117234,101.6,15.88,4.69,23.56,26.1,2.28,4.74,1.14,334.7,0.0,0.0,0.0
146,(주)고려시멘트,198440,2021,438319248,106.3,12.61,7.26,35.97,28.18,2.5,3.53,1.21,387.3,0.0,-13.62,0.0
147,(주)고려시멘트,198440,2022,399043064,108.8,1.82,0.07,0.34,3.58,2.43,-11.15,1.28,334.94,0.0,0.0,0.0
148,(주)고영테크놀러지,98460,2012,316897731,82.1,31.57,12.24,63.41,30.26,5.78,28.03,1.26,385.1,-2.638489467929708,13.93,0.0
149,(주)고영테크놀러지,98460,2013,335647450,85.0,25.81,10.2,54.53,27.9,5.26,18.46,1.09,415.02,-8.465624420038859,-21.78,0.0
150,(주)고영테크놀러지,98460,2014,353600472,87.2,32.95,13.72,75.11,32.69,5.89,26.29,1.18,442.26,58.69230922709303,67.86,0.0
151,(주)고영테크놀러지,98460,2015,358513845,91.0,29.3,13.27,77.01,31.9,5.48,18.96,1.07,487.87,6.421386467753296,-16.71,0.0
152,(주)고영테크놀러지,98460,2016,361701404,94.1,31.86,11.74,60.5,36.18,5.27,22.99,1.06,492.5,26.31785953985701,41.51,0.0
153,(주)고영테크놀러지,98460,2017,379476576,97.3,32.01,11.98,56.02,32.3,4.98,27.46,1.08,430.73,-10.05805024557312,31.84,0.0
154,(주)고영테크놀러지,98460,2018,393332482,98.7,30.94,7.47,39.2,36.25,4.91,23.75,1.03,484.7,58.26103772690352,5.11,0.0
155,(주)고영테크놀러지,98460,2019,397876077,101.2,26.43,8.34,41.2,36.36,3.86,14.2,0.83,493.22,-30.13493463149513,-27.51,0.0
156,(주)고영테크놀러지,98460,2020,430117234,101.6,17.3,11.07,59.24,29.16,3.03,6.47,0.73,503.7,-69.0083316192868,-52.47,0.0
157,(주)고영테크놀러지,98460,2021,438319248,106.3,26.19,11.53,48.31,39.01,2.81,14.75,0.77,483.56,332.115541928764,0.0,0.0
158,(주)고영테크놀러지,98460,2022,399043064,108.8,35.59,9.16,41.49,50.62,3.16,15.12,0.83,414.86,-0.7647096017055813,7.03,0.0
159,(주)골프존,215000,2016,361701404,94.1,44.04,18.75,52.38,38.14,3.23,37.67,1.48,136.62,0.0084662822031111,0.0,0.0
160,(주)골프존,215000,2017,379476576,97.3,34.14,22.79,89.92,43.27,3.04,24.16,1.12,284.03,117.2965434217547,-17.57,0.0
161,(주)골프존,215000,2018,393332482,98.7,24.9,22.29,95.76,31.83,3.22,14.66,0.96,248.01,-74.28021970575274,-24.82,0.0
162,(주)골프존,215000,2019,397876077,101.2,31.88,11.58,32.16,40.35,2.88,16.35,1.44,116.02,-20.59585936917299,14.69,0.0
163,(주)골프존,215000,2020,430117234,101.6,38.92,17.28,44.77,47.89,2.35,24.23,1.75,133.04,131.2669299306866,59.68,0.0
164,(주)골프존,215000,2021,438319248,106.3,45.72,23.11,58.29,50.21,2.64,41.61,1.54,166.89,103.8608610349939,108.78,0.0
165,(주)골프존,215000,2022,399043064,108.8,47.54,22.9,62.39,45.38,3.03,44.71,1.48,164.71,45.93663365782279,38.09,0.0
166,(주)골프존뉴딘홀딩스,121440,2012,316897731,82.1,22.44,9.93,41.54,41.92,3.66,18.14,0.83,194.96,57.79571619742894,26.75,0.0
167,(주)골프존뉴딘홀딩스,121440,2013,335647450,85.0,16.43,9.78,29.23,28.71,2.13,19.25,0.82,117.72,-96.17819437457456,16.65,0.0
