,거래소코드,year,Date,Name,Close,Marcap,Stocks,회계년도,회사명,산업코드,당기순이익,평균당기순이익,PER,ROE,ROE자본half,평균자본,업종PER,업종ROE,Label,연평균복리수익률,시총2,수익률,PBR,업종PBR,발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수),유통주식수 (발행주식의 총수 - 자기주식수),이익소각,자기주식수,보통주식비율
49,1800,2014,2014-12-30,오리온,1015000,6064593.535,5974969,2014-12-01,(주)오리온홀딩스,137100,174297,168112.6667,36.07457817,0.125842348,1335899,1201109.333,14.60849918,0.086338013,0,-0.207241529,5666607.115,0.070233636,5.049160278,1.195953092,5974969,5265736,0,709233,28.8
50,2030,2014,2014-12-30,아세아,148000,324271.552,2191024,2014-12-01,아세아(주),137100,62324,62806,5.163066459,0.054297289,1156706,1115622.833,14.60849918,0.086338013,1,0.032053166,181833.12,0.783347016,0.290664141,1.195953092,2191024,1901476,0,289548,43.08
51,3030,2014,2014-12-30,세아제강,79400,476400,6000000,2014-12-01,(주)세아제강지주,137100,76533,97607.66667,4.880764148,0.085841539,1137068,1056107.5,14.60849918,0.086338013,1,-0.13222769,529800,-0.100792752,0.451090443,1.195953092,6000000,5813988,0,186012,54.32
52,3550,2014,2014-12-30,LG,61200,10560496.42,172557131,2014-12-01,(주)엘지,137100,834264,873135,12.09491822,0.0707246,12345563,11871128,14.60849918,0.086338013,1,0.020562212,11043656.38,-0.04375,0.889595026,1.195953092,172557131,172463342,0,93789,48.54
53,5250,2014,2014-12-30,녹십자홀딩스,20900,982889.589,47028210,2014-12-01,(주)녹십자홀딩스,137100,101469,90791,10.82584826,0.079615597,1140367,1036969.167,14.60849918,0.086338013,1,0.086483042,585501.2145,0.678714859,0.947848423,1.195953092,47028210,44934190,3615600,2094020,41.02
54,5440,2014,2014-12-30,현대그린푸드,18950,1851499.934,97704482,2014-12-01,(주)현대지에프홀딩스,137100,97945,90048.66667,20.56110326,0.064224438,1402093.5,1353026.667,14.60849918,0.086338013,0,-0.04864161,1641435.298,0.12797619,1.368413483,1.195953092,97704482,87294973,0,10409509,37.67
55,5740,2014,2014-12-30,크라운제과,189500,279232.798,1473524,2014-12-01,(주)크라운해태홀딩스,137100,23776,27338.66667,10.21384113,0.108151588,252781,239395.6667,14.60849918,0.086338013,1,-0.128298538,403745.576,-0.308394161,1.166407069,1.195953092,1473524,1427702,0,45822,49.13
56,5810,2014,2014-12-30,풍산홀딩스,42850,335736.906,7835167,2014-12-01,(주)풍산홀딩스,137100,44937,39283.66667,8.546475786,0.072785339,539719.5,513656.6667,14.60849918,0.086338013,1,0.020769048,230353.9098,0.457482993,0.653621237,1.195953092,7835167,6491945,1200000,1343222,42.41
57,6040,2014,2014-12-30,동원산업,311000,1045955.2,3363200,2014-12-01,동원산업(주),137100,58644,81755,12.79377653,0.123768166,660549.5,602152.5,14.60849918,0.086338013,0,-0.043827641,1064452.8,-0.017377567,1.737027082,1.195953092,3363200,3363200,0,0,59.78
58,6260,2014,2014-12-30,LS,54300,1748460,32200000,2014-12-01,(주)엘에스,137100,86705,155198,11.2659957,0.051387982,3020122.5,2935674.333,14.60849918,0.086338013,1,-0.072413976,2604980,-0.328800989,0.595590587,1.195953092,32200000,27767071,0,4432929,33.42
59,7540,2014,2014-12-30,샘표식품,33600,149318.4,4444000,2014-12-01,샘표(주),137100,7007,7591.333333,19.66958813,0.052184334,145471.5,145291.1667,14.60849918,0.086338013,1,0.021640392,100878.8,0.480176211,1.027718363,1.195953092,4444000,3093915,0,1350085,30.24
60,7700,2014,2014-12-30,F&F,15000,231000,15400000,2014-12-01,(주)에프앤에프홀딩스,137100,13981,10152.33333,22.75339003,0.055321093,183516.5,175135.6667,14.60849918,0.086338013,0,0.484183562,108724,1.124645892,1.318977478,1.195953092,15400000,15400000,0,0,67.03
61,8930,2014,2014-12-30,한미사이언스,15450,842874.4256,54554979,2014-12-01,한미사이언스(주),137100,21862,14647,57.54587462,0.035431518,413389,399314,14.60849918,0.086338013,0,0.208787373,658427.3262,0.280132814,2.110806096,1.195953092,54554979,52610891,0,1944088,67.77
62,9970,2014,2014-12-30,영원무역홀딩스,88900,1212204.129,13635592,2014-12-01,(주)영원무역홀딩스,137100,181666,170680.3333,7.102189837,0.134214517,1271698,1088175,14.60849918,0.086338013,1,-0.06798202,1075848.209,0.126742712,1.113979028,1.195953092,13635592,11604898,0,2030694,46.74
63,12320,2014,2014-12-30,경동가스,111000,386812.8,3484800,2014-12-01,(주)경동인베스트,137100,75930,56217,6.880708682,0.101640583,553096,484302.3333,14.60849918,0.086338013,1,-0.178010881,341858.88,0.131498471,0.798701087,1.195953092,3484800,3483989,0,811,43.47
64,16710,2014,2014-12-30,대성홀딩스,10700,172157.2113,16089459,2014-12-01,대성홀딩스(주),137100,26975,29429,5.849917133,0.058039069,507055,486375.6667,14.60849918,0.086338013,1,-0.010676374,144483.3418,0.191536748,0.353959343,1.195953092,16089459,16089459,0,0,72.74
65,30000,2014,2014-12-30,제일기획,17200,1978709.07,115041225,2014-12-01,(주)제일기획,137100,102022,101152.6667,19.56161054,0.130414397,775625,722660.5,14.60849918,0.086338013,0,-0.018967945,3163633.688,-0.374545455,2.738089421,1.195953092,115041225,108178725,0,6862500,28.5
66,34310,2014,2014-12-30,NICE,15250,577705.075,37882300,2014-12-01,(주)나이스홀딩스,137100,53713,54088.66667,10.68070468,0.087386792,618957,486729.8333,14.60849918,0.086338013,1,0.08509141,447011.14,0.292372881,1.186911168,1.195953092,37882300,35461801,0,2420499,48.51
67,34730,2014,2014-12-30,SK C&C,213500,10675000,50000000,2014-12-01,에스케이(주),137100,129899,225012,47.44191421,0.09216366,2441439.5,2315761.667,14.60849918,0.086338013,0,0.154335811,6750000,0.581481481,4.609714442,1.195953092,50000000,44000000,0,6000000,43.45
