회사명,거래소코드,회계년도,[U01B800000000]계속영업이익(손실)(IFRS연결)(천원),[U01B350016400]   이자비용(IFRS연결)(천원),[U01B470010000]   이자비용(IFRS연결)(천원),[U01B550010000]   이자비용(IFRS연결)(천원),[U01B800000000]계속영업이익(손실)(IFRS)(천원),[U01B350016400]   이자비용(IFRS)(천원),[U01B470010000]   이자비용(IFRS)(천원),[U01B550010000]   이자비용(IFRS)(천원)
(주)유유제약,000220,2022/12,-4425393,0,0,2580742,-8250889,0,0,2412373
(주)유유제약,000220,2023/12,-5540582,0,0,2553778,-7289246,0,0,2398808
(주)유일로보틱스,388720,2022/12,-2312337,0,0,169990,-2151604,0,0,169414
(주)유일로보틱스,388720,2023/12,,,,,-6556245,0,0,899857
(주)유진로봇,056080,2022/12,,,,,4877087,0,0,233511
(주)유진테크,084370,2022/12,42595162,0,0,472216,52063638,0,0,15177
(주)유진테크,084370,2023/12,25397016,0,0,407648,29691977,0,0,14971
(주)유투바이오,221800,2023/12,,,,,645895,0,0,36319
(주)유티아이,179900,2022/12,-12053014,0,0,725343,-28876154,0,0,482407
(주)유티아이,179900,2023/12,-29567648,0,0,1623406,-29042749,0,0,1280841
(주)유틸렉스,263050,2022/12,-34470151,0,0,1763153,-31210248,0,0,1763153
(주)유한양행,000100,2022/12,90592526,0,0,3468047,130274124,0,0,47394
(주)유한양행,000100,2023/12,134031517,0,0,6299658,93509564,0,0,1487751
(주)육일씨엔에쓰,191410,2022/12,671601,0,0,1816106,1835622,0,0,1380119
(주)육일씨엔에쓰,191410,2023/12,-10630,0,0,1731802,-2071513,0,0,1496550
(주)윤성에프앤씨,372170,2022/12,,,,,24762677,0,0,1575988
(주)율호,072770,2022/12,-93290,0,0,1717734,-461444,0,0,1574442
(주)율호,072770,2023/12,-8272554,0,0,2149953,-6047333,0,0,1518655
(주)이건홀딩스,039020,2022/12,5463663,0,0,8199357,2085859,0,0,428070
(주)이글루코퍼레이션,067920,2022/12,7555317,0,0,176134,4705979,0,0,143799
(주)이글루코퍼레이션,067920,2023/12,7277688,0,0,153868,6802567,0,0,34409
(주)이글벳,044960,2022/12,,,,,2643394,0,0,232747
(주)이글벳,044960,2023/12,,,,,2975898,0,0,299921
(주)이노룰스,296640,2022/12,2148610,0,0,21120,1977691,0,0,21120
(주)이노룰스,296640,2023/12,34783,0,0,14321,-130582,0,0,11867
(주)이노메트리,302430,2022/12,2685093,0,0,63337,3144451,0,0,21945
(주)이노메트리,302430,2023/12,7806187,0,0,60270,6252910,0,0,35518
(주)이노션,214320,2022/12,89736619,0,0,3191360,126398998,0,0,70959
(주)이노와이어리스,073490,2022/12,13450730,0,0,96402,17715634,0,0,12151
(주)이노인스트루먼트,215790,2022/12,5622008,0,0,1056683,6426731,0,0,83500
(주)이노진,344860,2023/12,,,,,1396145,0,0,6177
(주)이노테라피,246960,2022/12,-5971957,0,0,874137,-5971858,0,0,874137
(주)이녹스,088390,2022/12,13637039,0,0,2026847,18167947,0,0,1508010
(주)이녹스첨단소재,272290,2022/12,85361139,0,0,1272745,85651091,0,0,742273
(주)이녹스첨단소재,272290,2023/12,32773848,0,0,1198969,38375823,0,0,701543
(주)이라이콤,041520,2022/12,-5784253,0,0,278653,-17693757,0,0,660
(주)이랜시스,264850,2022/12,5172734,0,0,332777,2740987,0,0,198277
(주)이랜시스,264850,2023/12,4982947,0,0,348815,1684552,0,0,183211
(주)이랜텍,054210,2022/12,56375416,0,0,6180712,30787467,0,0,2137428
(주)이랜텍,054210,2023/12,21158498,0,0,10798300,-3731771,0,0,3252886
(주)이루다,164060,2022/12,7318806,0,0,1008590,7989485,0,0,822226
(주)이루온,065440,2022/12,1704289,0,0,201662,1271950,0,0,129178
(주)이마트,139480,2022/12,1007725545,0,0,317541000,1050709937,0,0,146372000
(주)이미지스테크놀로지,115610,2022/12,,,,,1806425,0,0,30334
(주)이미지스테크놀로지,115610,2023/12,,,,,-4610902,0,0,319601
(주)이브이첨단소재,131400,2022/12,-10696977,0,0,2231688,-6654802,0,0,2235441
(주)이브이첨단소재,131400,2023/12,1560226,0,0,320752,-2770840,0,0,328388
(주)이상네트웍스,080010,2022/12,11816613,0,0,1077328,3438970,0,0,382586
(주)이수앱지스,086890,2022/12,,,,,-7246774,0,0,7417206
(주)이수앱지스,086890,2023/12,,,,,3610667,0,0,9883855
(주)이수페타시스,007660,2022/12,100330460,0,0,8457208,85549247,0,0,4341581
(주)이수화학,005950,2022/12,26233638,0,0,23201236,15523576,0,0,11665596
(주)이스타코,015020,2022/12,,,,,-5021732,0,0,1146145
(주)이스트소프트,047560,2022/12,-7074962,0,0,1817862,-7467976,0,0,873306
(주)이아이디,093230,2022/12,-99474118,0,0,18157555,-109306299,0,0,15598329
(주)이엔에프테크놀로지,102710,2022/12,45002267,0,0,3772644,35085314,0,0,1693135
(주)이엔에프테크놀로지,102710,2023/12,-23244757,0,0,9682518,-9523858,0,0,4364892
(주)이엔플러스,074610,2022/12,-36257081,0,0,2717504,-38636865,0,0,2526731
(주)이엘피,063760,2022/12,-1606350,0,0,259208,-816219,0,0,232481
(주)이엠넷,123570,2022/12,7337444,0,0,45428,7498510,0,0,510
(주)이엠앤아이,083470,2022/12,-91893,0,0,401372,414320,0,0,393415
(주)이엠텍,091120,2022/12,32942042,0,0,3572678,9717287,0,0,1977944
(주)이엠텍,091120,2023/12,-12176031,0,0,6560546,-11078995,0,0,3338129
(주)이오테크닉스,039030,2022/12,77243298,0,0,329657,76277379,0,0,251015
(주)이원,017940,2022/12,141465520,0,0,52927173,139201555,0,0,33618647
(주)이월드,084680,2022/12,,,,,5633004,0,0,5539408
(주)이월드,084680,2023/12,,,,,-9443188,0,0,6893069
(주)이즈미디어,181340,2022/12,-3257114,0,0,2733312,-2236663,0,0,2737084
(주)이지,037370,2022/12,-11271838,0,0,3763288,30453,0,0,191705
(주)이지,037370,2023/12,-20358289,0,0,5297229,-23455861,0,0,175163
(주)이지바이오,353810,2022/12,9347351,0,0,1720296,8527609,0,0,1603042
(주)이지트로닉스,377330,2022/12,,,,,-2308228,0,0,174168
(주)이지홀딩스,035810,2022/12,26917171,0,0,34877197,43156711,0,0,6346315
(주)이큐셀,160600,2022/12,5743163,0,0,902626,7055289,0,0,695048
(주)이크레더블,092130,2022/12,15659525,0,0,12145,14803062,0,0,10221
(주)이크레더블,092130,2023/12,11748156,0,0,12686,10931826,0,0,10645
(주)이퓨쳐,134060,2022/12,,,,,2859074,0,0,10620
(주)이퓨쳐,134060,2023/12,,,,,1383158,0,0,44531
(주)인디에프,014990,2022/12,-10174563,0,0,2541054,-10168736,0,0,2541054
(주)인바디,041830,2022/12,33826240,0,0,121987,35356706,0,0,3039
(주)인바디,041830,2023/12,36560884,0,0,329510,31553850,0,0,6204
(주)인바이오젠,101140,2022/12,,,,,-119687208,0,0,3690415
(주)인벤티지랩,389470,2022/12,,,,,-10595329,0,0,103353
(주)인산가,277410,2022/12,3797771,0,0,522068,3579076,0,0,503544
(주)인산가,277410,2023/12,4972376,0,0,40210,4949399,0,0,11826
(주)인성정보,033230,2022/12,854653,0,0,2036443,1238187,0,0,582492
(주)인스코비,006490,2022/12,-7408063,0,0,1333348,-8268059,0,0,1320980
(주)인지디스플레이,037330,2022/12,6825151,0,0,6103949,1207373,0,0,4482094
(주)인지소프트,100030,2022/12,4308654,0,0,375740,-6741107,0,0,329440
(주)인콘,083640,2022/12,,,,,4328208,0,0,1457760
(주)인콘,083640,2023/12,,,,,-31584160,0,0,1584578
(주)인터로조,119610,2022/12,24168151,0,0,1248509,21673978,0,0,1229355
(주)인터플렉스,051370,2022/12,15309187,0,0,797866,15310769,0,0,797208
(주)인터플렉스,051370,2023/12,27320804,0,0,85704,25973332,0,0,84679
(주)인텍플러스,064290,2022/12,16335038,0,0,525878,16357793,0,0,525878
(주)인텔리안테크놀로지스,189300,2022/12,16029204,0,0,1557509,13311657,0,0,1202708
(주)인텔리안테크놀로지스,189300,2023/12,5532426,0,0,5866554,3877515,0,0,4962524
(주)인트로메딕,150840,2022/12,-23335576,0,0,2519050,-23375716,0,0,2343075
(주)인트론바이오테크놀로지,048530,2022/12,5711908,0,0,3505895,5721077,0,0,3505895
(주)인트론바이오테크놀로지,048530,2023/12,-9695412,0,0,2918919,-10652215,0,0,2918919
(주)인팩,023810,2022/12,16927734,0,0,3585437,6211434,0,0,1351724
(주)인포마크,175140,2022/12,-10251035,0,0,1186679,-10251035,0,0,1186679
(주)인포바인,115310,2022/12,6010939,0,0,26935,5999192,0,0,24915
