회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원)
(주)경방,000050,2019/12,1370742491,741553199,629189292,343892085,1296265431,740731873,555533558,253552382
(주)경방,000050,2020/12,1264902051,741929808,522972244,329224741,1212393834,759469891,452923943,226061886
(주)경방,000050,2021/12,1270805118,752146420,518658698,383357145,1214189554,766715184,447474370,271718425
(주)경방,000050,2022/12,1248318314,755008459,493309854,389227583,1140221654,759186429,381035226,269780478
(주)경방,000050,2023/12,1206860951,738045544,468815407,393518959,1124299995,752090829,372209167,271010631
(주)경보제약,214390,2018/12,,,,,221622993,149012165,72610828,201343596
(주)경보제약,214390,2019/12,,,,,237816742,149163504,88653237,191706189
(주)경보제약,214390,2020/12,,,,,253239177,156056794,97182383,215285095
(주)경보제약,214390,2021/12,,,,,236979153,145700730,91278423,170659645
(주)경보제약,214390,2022/12,,,,,240544942,143704055,96840887,196264902
(주)경보제약,214390,2023/12,,,,,266305017,144381421,121923596,216357482
(주)경인양행,012610,2018/12,412996589,223759383,189237207,331102011,344908257,198237400,146670857,222659442
(주)경인양행,012610,2019/12,472081003,237433141,234647863,358802386,381063538,201086327,179977211,245244968
(주)경인양행,012610,2020/12,505102151,228381756,276720395,329312078,386097816,191584529,194513287,214380449
(주)경인양행,012610,2021/12,579492465,251869915,327622550,403325659,462114130,208310486,253803644,276226577
(주)경인양행,012610,2022/12,548252999,266154503,282098496,402637341,397711513,213238020,184473494,245973699
(주)경인양행,012610,2023/12,538955972,251693305,287262668,345408240,378675838,193082199,185593640,216180930
(주)고려시멘트,198440,2018/12,,,,,127536833,86510962,41025871,85775723
(주)고려시멘트,198440,2019/12,,,,,127035573,88445378,38590195,70921781
(주)고려시멘트,198440,2020/12,,,,,115337527,92362134,22975393,70182711
(주)고려시멘트,198440,2021/12,,,,,146783492,117150863,29632628,65672532
(주)고려시멘트,198440,2022/12,,,,,137163225,109334429,27828796,69904737
(주)고려시멘트,198440,2023/12,,,,,114558490,92196181,22362310,50522977
(주)고바이오랩,348150,2019/12,35321574,-53623865,88945439,576519,34573964,-53757039,88331003,576519
(주)고바이오랩,348150,2020/12,58537097,55390674,3146423,4591485,55675224,54133946,1541278,4591485
(주)고바이오랩,348150,2021/12,105285475,90588508,14696967,2893329,100242225,87385334,12856891,2893329
(주)고바이오랩,348150,2022/12,123929934,95454891,28475043,11605577,108742853,84939725,23803128,7476416
(주)고영테크놀러지,098460,2018/12,279059436,225866639,53192797,238208865,279985447,229271175,50714272,219818022
(주)고영테크놀러지,098460,2019/12,305481184,243668528,61812656,222057035,308020011,252020628,55999383,209480760
(주)고영테크놀러지,098460,2020/12,302574461,246058103,56516358,179545134,303115486,252662621,50452865,157077647
(주)고영테크놀러지,098460,2021/12,368329267,280399362,87929905,247301342,366774976,285441240,81333736,230143517
(주)고영테크놀러지,098460,2022/12,391686493,305174910,86511583,275359587,383012992,305920335,77092658,241870219
(주)고영테크놀러지,098460,2023/12,367212258,305317865,61894393,225630691,362238894,306085324,56153570,200989716
(주)골드앤에스,035290,2018/12,42472631,13779569,28693062,8680452,42472631,13867013,28605618,8680452
(주)골드앤에스,035290,2019/12,16096170,-5091573,21187743,7642733,16096170,-5001092,21097263,7642733
(주)골드앤에스,035290,2020/12,20634172,14398168,6236005,4138760,20634172,14488649,6145524,4138760
(주)골드앤에스,035290,2021/12,26144813,15175954,10968859,13506639,26144813,15266435,10878378,13506639
(주)골드앤에스,035290,2022/12,18720919,14551483,4169436,9488858,17605734,14641964,2963770,9488858
(주)골드앤에스,035290,2023/12,,,,,15650915,12226072,3424843,9949792
(주)골프존,215000,2018/12,254057808,194919561,59138246,198705194,254578679,197436844,57141835,191571105
(주)골프존,215000,2019/12,312587283,200042879,112544404,247018099,304860836,205529589,99331248,239051647
(주)골프존,215000,2020/12,367293667,225570692,141722975,298524085,348043074,228577113,119465961,281031445
(주)골프존,215000,2021/12,483601164,291902034,191699131,440308104,453214136,288696449,164517688,413298839
(주)골프존,215000,2022/12,589527895,373163222,216364672,617513987,517542182,362303179,155239003,566684211
(주)골프존,215000,2023/12,637622472,425679094,211943377,685111034,561238889,430205708,131033181,599787821
(주)골프존뉴딘홀딩스,121440,2018/12,774743339,485969871,288773468,223036801,563387103,484480922,78906181,16100354
(주)골프존뉴딘홀딩스,121440,2019/12,776384700,447197508,329187192,228935651,537526345,450069457,87456888,26897482
(주)골프존뉴딘홀딩스,121440,2020/12,795768970,469481392,326287578,292025578,562128924,468244376,93884548,57481004
(주)골프존뉴딘홀딩스,121440,2021/12,939417561,601359598,338057964,417687053,702771959,597768132,105003827,80139752
(주)골프존뉴딘홀딩스,121440,2022/12,1008824294,685290152,323534143,488754684,786859121,680993905,105865217,101003788
(주)골프존뉴딘홀딩스,121440,2023/12,1036731864,712627638,324104226,427096093,813156541,705941992,107214549,64736435
(주)공구우먼,366030,2018/12,,,,,,,,
(주)공구우먼,366030,2019/12,,,,,,,,
(주)공구우먼,366030,2020/12,,,,,23980267,21254528,2725739,32683411
(주)공구우먼,366030,2021/12,,,,,31550791,27118796,4431995,47319808
(주)공구우먼,366030,2022/12,,,,,63198047,59297313,3900734,58686880
(주)공구우먼,366030,2023/12,,,,,69576562,66168082,3408480,53009477
(주)광림,014200,2018/12,187812629,90075229,97737400,136595300,236379465,120931215,115448249,75493055
(주)광림,014200,2019/12,254239320,102732190,151507129,145864184,278872659,156211227,122661432,93241157
(주)광림,014200,2020/12,212123388,81613304,130510084,161220310,234833331,148097628,86735704,104253227
(주)광림,014200,2021/12,268834328,125779874,143054454,188434984,272822325,204225504,68596821,136952961
(주)광림,014200,2022/12,278083741,161976773,116106968,206957470,229511488,173191372,56320115,156105843
