iter	Passed	Remaining
759	1676	529
760	1678	527
761	1679	524
762	1681	522
763	1683	520
764	1685	517
765	1686	515
766	1688	512
767	1689	510
768	1690	507
769	1691	505
770	1693	502
771	1694	500
772	1695	497
773	1698	495
774	1702	494
775	1707	492
776	1714	492
777	1719	490
778	1722	488
779	1725	486
780	1728	484
781	1731	482
782	1733	480
783	1736	478
784	1738	476
785	1740	473
786	1741	471
787	1743	469
788	1746	467
789	1748	464
790	1750	462
791	1752	460
792	1753	457
793	1755	455
794	1756	452
795	1757	450
796	1759	448
797	1762	446
798	1764	443
799	1765	441
800	1767	439
801	1768	436
802	1769	434
803	1772	432
804	1773	429
805	1778	427
806	1781	426
807	1787	424
808	1793	423
809	1797	421
810	1801	419
811	1804	417
812	1806	415
813	1809	413
814	1812	411
815	1814	409
816	1816	406
817	1817	404
818	1819	402
819	1821	399
820	1824	397
821	1826	395
822	1827	393
823	1829	390
824	1831	388
825	1832	386
826	1833	383
827	1835	381
828	1836	378
829	1838	376
830	1840	374
831	1842	372
832	1844	369
833	1846	367
834	1847	365
835	1849	362
836	1851	360
837	1852	358
838	1854	355
839	1856	353
840	1858	351
841	1860	349
842	1861	346
843	1863	344
844	1865	342
845	1866	339
846	1868	337
847	1871	335
848	1874	333
849	1875	331
850	1877	328
851	1878	326
852	1880	324
853	1881	321
854	1883	319
855	1885	317
856	1887	314
857	1888	312
858	1890	310
859	1891	307
860	1893	305
861	1894	303
862	1895	300
863	1897	298
864	1899	296
865	1901	294
866	1903	292
867	1905	289
868	1906	287
869	1908	285
870	1909	282
871	1911	280
872	1912	278
873	1914	276
874	1919	274
875	1924	272
876	1927	270
877	1931	268
878	1935	266
879	1937	264
880	1940	262
881	1942	259
882	1944	257
883	1945	255
884	1948	253
885	1950	250
886	1952	248
887	1953	246
888	1955	244
889	1957	241
890	1958	239
891	1960	237
892	1961	235
893	1963	232
894	1964	230
895	1966	228
896	1968	225
897	1969	223
898	1970	221
899	1972	219
900	1973	216
901	1975	214
902	1976	212
903	1979	210
904	1981	208
905	1983	205
906	1984	203
907	1985	201
908	1986	198
909	1988	196
910	1990	194
911	1991	192
912	1992	189
913	1993	187
914	1995	185
915	1997	183
916	1998	180
917	2000	178
918	2001	176
919	2002	174
920	2003	171
921	2005	169
922	2006	167
923	2008	165
924	2009	162
925	2010	160
926	2013	158
927	2014	156
928	2015	154
929	2017	151
930	2019	149
931	2020	147
932	2022	145
933	2024	143
934	2031	141
935	2035	139
936	2038	137
937	2042	135
938	2045	132
939	2048	130
940	2050	128
941	2052	126
942	2054	124
943	2056	121
944	2057	119
945	2059	117
946	2061	115
947	2063	113
948	2064	110
949	2066	108
950	2067	106
951	2069	104
952	2071	102
953	2072	99
954	2073	97
955	2076	95
956	2079	93
957	2082	91
958	2085	89
959	2087	86
960	2095	85
961	2100	82
962	2103	80
963	2108	78
964	2111	76
965	2113	74
966	2116	72
967	2117	70
968	2119	67
969	2122	65
970	2125	63
971	2126	61
972	2128	59
973	2130	56
974	2132	54
975	2133	52
976	2135	50
977	2137	48
978	2141	45
979	2145	43
980	2147	41
981	2149	39
982	2150	37
983	2152	34
984	2153	32
985	2156	30
986	2157	28
987	2159	26
988	2160	24
989	2161	21
990	2162	19
991	2164	17
992	2165	15
993	2166	13
994	2167	10
995	2169	8
996	2171	6
997	2173	4
998	2175	2
999	2176	0
