,Ticker,Name,Precision_SVM
413,18700,바른손,0.513945578
836,54940,엑사이엔씨,0.513717805
532,63170,서울옥션,0.513717805
1513,52260,현대바이오랜드,0.51343785
1181,119850,지엔씨에너지,0.51317402
19,68790,DMS,0.512581699
1477,21650,한국큐빅,0.512376238
1259,49430,코메론,0.512242268
1175,208350,지란지교시큐리티,0.512075134
1236,225430,케이엠제약,0.511682243
787,52020,에스티큐브,0.511508073
157,89600,나스미디어,0.511455526
1281,200130,콜마비앤에이치,0.511455526
1313,44490,태웅,0.511363636
1040,44960,이글벳,0.511309524
1525,97870,효성오앤비,0.51122449
551,45300,성우테크론,0.510769231
1297,45520,크린앤사이언스,0.510679612
1400,370090,퓨런티어,0.51
498,361670,삼영에스앤씨,0.509022556
1463,222980,한국맥널티,0.508398656
238,78600,대주전자재료,0.508241758
441,6910,보성파워텍,0.507965686
937,193250,와이제이엠게임즈,0.507965686
527,100660,서암기계공업,0.506738544
329,200350,래몽래인,0.506738544
465,83650,비에이치아이,0.5066313
1216,79190,케스피온,0.505825243
1534,200670,휴메딕스,0.505555556
394,348030,모비릭스,0.505555556
1456,221840,하이즈항공,0.505208333
356,377450,리파인,0.503707627
548,14620,성광벤드,0.503079507
1080,96040,이트론,0.502941176
945,115440,우리넷,0.502757353
1312,53620,태양,0.502757353
1437,347770,핌스,0.502164502
73,327260,RF머트리얼즈,0.50210084
668,123860,아나패스,0.501803752
1176,144510,지씨셀,0.501785714
531,46890,서울반도체,0.501169591
864,48830,엔피케이,0.501068376
271,41930,동아화성,0.500970874
486,143240,사람인,0.500970874
371,72870,메가스터디,0.500970874
269,25950,동신건설,0.500925926
55,35600,KG이니시스,0.500925926
1356,214450,파마리서치,0.500258799
626,445970,신영스팩9호,0.5
534,18680,서울제약,0.5
637,257720,실리콘투,0.5
239,96350,대창솔루션,0.499707602
582,950200,소마젠,0.499138674
581,290690,소룩스,0.499019608
1094,83640,인콘,0.498829588
965,14190,원익큐브,0.497580645
1081,134060,이퓨쳐,0.497580645
859,58450,엔터파트너즈,0.49733388
149,121600,나노신소재,0.497100515
713,84850,아이티엠반도체,0.49702381
1507,214180,헥토이노베이션,0.49702381
393,363260,모비데이즈,0.496753247
363,98120,마이크로컨텍솔,0.496488764
905,241790,오션브릿지,0.496296296
1482,52600,한네트,0.496260684
64,60370,LS마린솔루션,0.496260684
113,49720,고려신용정보,0.496260684
355,73570,리튬포어스,0.496116505
320,317120,라닉스,0.495543672
1417,32580,피델릭스,0.495454545
970,336570,원텍,0.494430693
1166,440,중앙에너비스,0.494178922
814,21080,에이티넘인베스트,0.493939394
659,115480,씨유메디칼,0.493817204
221,78140,대봉엘에스,0.49339934
507,24950,삼천리자전거,0.492721165
1332,26150,특수건설,0.492441209
281,5290,동진쎄미켐,0.492307692
108,39240,경남스틸,0.492063492
1147,322510,제이엘케이,0.49197861
640,160980,싸이맥스,0.491262136
292,66670,디스플레이텍,0.49057971
91,161570,THE MIDONG,0.489957717
229,45390,대아티아이,0.489779874
1351,130740,티피씨글로벌,0.489389234
1398,23900,풍국주정,0.489181287
1450,365590,하이딥,0.488738739
1326,45340,토탈소프트,0.488455988
344,900260,로스웰,0.487878788
501,32280,삼일,0.487307692
542,35890,서희건설,0.487132353
1077,377330,이지트로닉스,0.487037037
1361,37030,파워넷,0.487012987
126,421800,교보12호스팩,0.485714286
1282,294570,쿠콘,0.484962406
256,263600,덕우전자,0.484541063
418,314930,바이오다인,0.483974359
1352,84730,팅크웨어,0.483954451
15,83660,CSA 코스믹,0.483653846
1275,56360,코위버,0.483153639
550,81580,성우전자,0.482738095
1089,60150,인선이엔티,0.482407407
1413,75130,플랜티넷,0.482307692
308,113810,디젠스,0.482174688
742,179530,애드바이오텍,0.481601732
1359,37070,파세코,0.481553398
368,377030,맥스트,0.480769231
1539,145020,휴젤,0.480586081
1017,24800,유성티엔에스,0.48030303
597,236200,슈프리마,0.48030303
791,317830,에스피시스템스,0.480288462
1357,208340,파멥신,0.479910714
910,138080,오이솔루션,0.479664014
169,95660,네오위즈,0.479374111
830,38110,에코플라스틱,0.479153605
1529,90710,휴림로봇,0.477987421
727,131370,알서포트,0.477777778
1197,278280,천보,0.477777778
109,53950,경남제약,0.477294007
1379,263750,펄어비스,0.476699029
1137,54950,제이브이엠,0.476159794
1271,29960,코엔텍,0.475757576
141,19660,글로본,0.475757576
610,49830,승일,0.475757576
1393,290720,푸드나무,0.473345588
1390,234100,폴라리스세원,0.473148148
1294,96240,크레버스,0.473045822
1163,36930,주성엔지니어링,0.471724524
612,33170,시그네틱스,0.471500722
690,99190,아이센스,0.471212121
14,65770,CS,0.471212121
323,300120,라온피플,0.471212121
786,98660,에스티오,0.470698925
1396,7330,푸른저축은행,0.470404984
