날짜,시가,고가,저가,종가,"MA_종가,단순,5","MA_종가,단순,20","MA_종가,단순,60","MA_종가,단순,120","MA_종가,단순,240",프로그램순매수(종목),누적,
2023-08-16,533000 ,540000 ,524000 ,526000 ,544800 ,552250 ,564717 ,564508 ,536929 ,-26019 ,6493618 ,
2023-08-14,545000 ,551000 ,536000 ,542000 ,544600 ,553400 ,565150 ,564458 ,536677 ,-21271 ,6519637 ,
2023-08-11,559000 ,559000 ,543000 ,547000 ,539000 ,553200 ,565483 ,564242 ,536331 ,-704 ,6540908 ,
2023-08-10,549000 ,560000 ,543000 ,556000 ,537600 ,552950 ,565700 ,564125 ,535931 ,13454 ,6541612 ,
2023-08-09,530000 ,553000 ,528000 ,553000 ,535000 ,552250 ,565433 ,564067 ,535469 ,75563 ,6528158 ,
2023-08-08,517000 ,535000 ,517000 ,525000 ,533200 ,551300 ,565300 ,563850 ,535008 ,26447 ,6452595 ,
2023-08-07,540000 ,542000 ,513000 ,514000 ,539600 ,552550 ,565667 ,563850 ,534683 ,-111631 ,6426148 ,
2023-08-04,545000 ,548000 ,540000 ,540000 ,548800 ,554350 ,566317 ,563917 ,534425 ,-22485 ,6537779 ,
2023-08-03,541000 ,551000 ,539000 ,543000 ,549200 ,555450 ,566750 ,563933 ,534065 ,26087 ,6560264 ,
2023-08-02,551000 ,559000 ,543000 ,544000 ,548600 ,556550 ,567083 ,563992 ,533721 ,-10289 ,6534177 ,
2023-08-01,562000 ,568000 ,550000 ,557000 ,555800 ,557700 ,567317 ,564008 ,533373 ,31664 ,6544466 ,
2023-07-31,545000 ,562000 ,545000 ,560000 ,563200 ,558300 ,567433 ,563883 ,533019 ,36017 ,6512802 ,
2023-07-28,540000 ,552000 ,540000 ,542000 ,570600 ,558950 ,567550 ,563592 ,532594 ,-48046 ,6476785 ,
2023-07-27,577000 ,577000 ,535000 ,540000 ,576000 ,559500 ,568367 ,563533 ,532242 ,-315777 ,6524831 ,
2023-07-26,595000 ,620000 ,560000 ,580000 ,579200 ,560000 ,569050 ,563475 ,531854 ,91946 ,6840608 ,
2023-07-25,607000 ,610000 ,585000 ,594000 ,575200 ,558350 ,569167 ,562992 ,531296 ,-14150 ,6748662 ,
2023-07-24,573000 ,602000 ,568000 ,597000 ,566200 ,556700 ,568717 ,562383 ,530667 ,73274 ,6762812 ,
2023-07-21,549000 ,574000 ,543000 ,569000 ,554400 ,555050 ,567950 ,561658 ,530000 ,44111 ,6689538 ,
2023-07-20,560000 ,563000 ,551000 ,556000 ,549000 ,554750 ,567900 ,561133 ,529367 ,-37339 ,6645427 ,
2023-07-19,550000 ,564000 ,546000 ,560000 ,546200 ,555400 ,568167 ,560808 ,528798 ,-19428 ,6682766 ,
2023-07-18,539000 ,553000 ,534000 ,549000 ,541000 ,555300 ,568500 ,560175 ,528223 ,18221 ,6702194 ,
2023-07-17,541000 ,542000 ,533000 ,538000 ,541200 ,555900 ,569050 ,559513 ,527667 ,-8029 ,6683973 ,
2023-07-14,544000 ,546000 ,538000 ,542000 ,543600 ,557050 ,569950 ,558829 ,527065 ,33849 ,6692002 ,
2023-07-13,535000 ,544000 ,534000 ,542000 ,547600 ,559350 ,570767 ,558129 ,526448 ,13330 ,6658153 ,
2023-07-12,538000 ,539000 ,530000 ,534000 ,552200 ,561500 ,571633 ,557429 ,525819 ,-67281 ,6644823 ,
2023-07-11,553000 ,557000 ,547000 ,550000 ,558800 ,564250 ,572717 ,556983 ,525185 ,-176 ,6712104 ,
2023-07-10,564000 ,564000 ,550000 ,550000 ,562600 ,567100 ,573383 ,556383 ,524521 ,-77057 ,6712280 ,
2023-07-07,570000 ,574000 ,556000 ,562000 ,567200 ,570200 ,574383 ,555783 ,523829 ,-9387 ,6789337 ,
2023-07-06,569000 ,572000 ,562000 ,565000 ,565400 ,572550 ,574950 ,555054 ,523083 ,1290 ,6798724 ,
2023-07-05,569000 ,571000 ,564000 ,567000 ,562400 ,573850 ,575200 ,554292 ,522367 ,14127 ,6797434 ,
2023-07-04,573000 ,574000 ,564000 ,569000 ,558400 ,575700 ,575417 ,553433 ,521671 ,-3602 ,6783307 ,
2023-07-03,557000 ,576000 ,556000 ,573000 ,556800 ,576950 ,575733 ,552392 ,520965 ,43481 ,6786909 ,
2023-06-30,551000 ,556000 ,548000 ,553000 ,555000 ,577700 ,575767 ,551229 ,520244 ,-21667 ,6743428 ,
2023-06-29,548000 ,561000 ,547000 ,550000 ,557000 ,579250 ,576317 ,550313 ,519610 ,8240 ,6765095 ,
2023-06-28,561000 ,566000 ,545000 ,547000 ,560800 ,581700 ,576883 ,549400 ,518965 ,-17252 ,6756855 ,
2023-06-27,561000 ,562000 ,556000 ,561000 ,563000 ,583350 ,577567 ,548558 ,518302 ,-18808 ,6774107 ,
2023-06-26,562000 ,567000 ,559000 ,564000 ,563000 ,584200 ,577933 ,547513 ,517521 ,-8688 ,6792915 ,
2023-06-23,570000 ,574000 ,561000 ,563000 ,562400 ,585150 ,578150 ,546450 ,516715 ,-7787 ,6801603 ,
