,Ticker,Name,Precision_RF,Precision_DT,Precision_LR,Precision_SVM
943,32820,우리기술,0.57409688,0.52952381,0.496296296,0.633333333
547,86710,선진뷰티사이언스,0.556644518,0.493412385,0.573232323,0.632773109
105,217730,강스템바이오텍,0.55977131,0.521680217,0.486791237,0.631553398
1130,187420,제노포커스,0.527630416,0.597826087,0.542204301,0.631547619
387,80420,모다이노칩,0.458214794,0.502987421,0.500258799,0.631547619
559,17510,세명전기,0.51184739,0.55245377,0.612692308,0.628787879
468,65170,비엘팜텍,0.484469697,0.493144133,0.794642857,0.628787879
1004,18000,유니슨,0.518136558,0.536378205,0.571948488,0.628703704
1298,36170,클라우드에어,0.567810458,0.549213836,0.686594203,0.62810559
923,109080,옵티시스,0.556619079,0.527287582,0.555362654,0.627956989
